time,roof mechanical,DB,WB,Scored Labels
2/22/2016 11:51:00 PM,-123.1,39,31,-126.153121948242
7/10/2016 6:51:00 AM,-66.75,69,66,-56.3962440490723
3/6/2016 7:51:00 AM,64.9,34,27,46.6424865722656
5/3/2016 1:51:00 PM,-142.05,52,50,-138.978515625
6/6/2016 3:51:00 AM,-71.45,66,65,-69.8113174438477
2/6/2016 11:51:00 AM,199,38,32,193.757217407227
11/15/2016 1:51:00 AM,0,54,45,0.0019373829709366
6/26/2016 8:51:00 PM,-165.6,75,60,-153.639938354492
4/30/2016 6:51:00 AM,-75.96666667,49,44,-102.664367675781
6/26/2016 10:51:00 AM,-165.95,83,68,-156.56266784668
4/14/2016 9:51:00 AM,-128.85,51,40,-126.817451477051
3/12/2016 3:51:00 PM,79.45,55,46,69.0584869384766
3/19/2016 4:51:00 AM,63.9,37,31,57.062858581543
11/6/2016 8:51:00 PM,0,47,39,-1.46658718585968
3/21/2016 9:51:00 PM,45.5,39,32,31.8062839508057
6/16/2016 5:39:00 AM,-157,67,66,-156.871231079102
6/10/2016 6:13:00 AM,-122.4,58,48,-123.624443054199
5/2/2016 8:51:00 AM,-133.25,49,47,-111.385055541992
7/7/2016 2:51:00 PM,66.9,85,77,-117.835502624512
2/16/2016 12:39:00 PM,-134.15,52,50,-140.659378051758
1/22/2016 10:39:00 PM,199.25,27,23,175.089981079102
7/6/2016 9:51:00 AM,-149.5,86,70,-107.660743713379
9/11/2016 4:51:00 AM,117.9,78,73,91.5495910644531
3/26/2016 8:51:00 PM,86.95,43,39,82.0112457275391
3/17/2016 3:51:00 AM,70.95,46,43,73.2412719726563
4/2/2016 2:51:00 AM,37.55,56,49,83.1143112182617
3/17/2016 5:48:00 AM,67.55,48,45,70.4053268432617
1/10/2016 8:42:00 AM,165.25,50,48,174.731384277344
12/21/2016 9:51:00 PM,0,39,32,3.95571565628052
9/8/2016 9:51:00 PM,-54.6,85,75,-61.5969352722168
4/19/2016 7:51:00 PM,81.25,63,44,36.9810905456543
4/23/2016 6:51:00 PM,41.5,62,50,40.1905136108398
5/2/2016 6:51:00 PM,-140.7,58,54,-143.040069580078
8/9/2016 6:51:00 PM,113.1,79,69,128.107131958008
4/10/2016 11:51:00 PM,-117.15,43,37,-105.393707275391
6/19/2016 6:51:00 AM,-170.45,69,60,-138.864395141602
5/22/2016 2:51:00 PM,-97.9,69,57,-106.860275268555
12/20/2016 2:51:00 PM,0,32,25,-6.52480030059814
2/16/2016 12:01:00 PM,-143.35,53,51,-143.196517944336
1/19/2016 10:51:00 AM,222.6,23,18,179.466934204102
11/15/2016 1:51:00 PM,0,50,48,-0.016535647213459
7/7/2016 1:29:00 PM,-151.35,79,76,43.3117828369141
